23.4,0.020750614
22.3,0.020712328
22.2,0.020382944
22.8,0.020552488
23.1,0.02078199
23.1,0.020525215
23.1,0.020893572
23.3,0.02130788
23.4,0.021907626
23.4,0.021729968
23.4,0.021595547
23.9,0.021582942
23.5,0.021685455
23.7,0.021690243
23.3,0.021683656
23.4,0.021487513
23.4,0.021318602
23.4,0.021486777
23.1,0.021039036
23.7,0.020945366
24,0.020371752
23.6,0.020291824
23.5,0.020433756
23.3,0.019798179
23.8,0.019987391
21.9,25.19897733
21.8,25.5364901
21.9,25.65767722
21.9,26.42226187
21.8,27.2113267
22.1,28.23479705
21.9,29.1180473
22.3,31.08759613
22.3,35.3986667
21.7,39.06037815
21.8,41.76864663
21.9,47.44760022
22.1,55.51850424
22.2,60.26176665
21.9,70.76812833
22.5,73.39186467
21.6,70.13953658
21.6,64.33624602
21.6,54.51123524
21.9,44.93915247
22.1,39.04144444
21.6,34.3307302
21.6,32.39454398
21.9,33.53334396
21.7,32.14327397
28.3,91.66627507
27.6,91.59262723
27.4,91.27482484
27.7,91.31577371
27.4,92.21413474
27.7,93.11613444
27.8,93.07008238
27.7,92.53240315
28.2,93.53429946
27.8,94.77333681
27.8,95.88982543
27.9,104.8086679
28,112.7772466
28.2,122.4228675
28.1,138.1132677
28.3,139.660128
28.3,138.0551678
28.1,131.5768471
27.9,119.0353655
28.4,105.0843566
28.5,95.61732133
28.2,87.07663231
28,84.64046191
28.2,80.23734664
28.3,73.50475955
22.2,1.114284969
21.6,1.053549677
22.4,1.040449752
22.3,1.032684776
22.1,1.019775674
22.7,1.038891339
22.2,1.073850251
22.3,1.128202629
22.9,1.143145235
22.7,1.245113849
22.1,1.281816514
22.4,1.162420528
22.7,1.063659431
22.8,1.036757755
22.7,1.166822756
23.3,1.111169584
22,1.234220463
22.2,1.047064741
22.2,1.01849363
22.9,0.939258084
22.7,0.937676087
22.1,0.936072626
22.4,0.816363713
22.3,0.805997714
22.1,0.874941638
28.7,238.9822595
28.4,246.3405199
28,251.3808094
28.7,255.8249774
28.1,256.8128099
28.4,256.5624822
28.6,257.5627162
28.6,255.3377154
29,256.8603493
28.5,262.309763
28.6,275.8146194
28.7,281.3085452
29,286.2932644
28.9,287.7017839
29,283.2176298
29.2,278.1389887
