Year,Precipitation
2011,1162.5
2012,1190.3
2013,1086.3
2014,1163.7
1990,1493.5
1991,1556.9
1992,1539
1993,1508.1
1994,1904
1995,1641.8
1996,1639.6
1997,1662.6
1998,1700.4
1999,1711.3
2000,1652.6
2001,1490.9
2002,1504.7
2003,1834.8
2004,1685.8
2005,1570.6
2006,1605.2
2007,1373
2008,1744.9
2009,1545.9
2010,1917.5
2011,1599.4
2012,1660.7
2013,1704.5
2014,1668.5
1990,1300.1
1991,1557.2
1992,1545.6
1993,1445.5
1994,1844.1
1995,1451.8
1996,1504.3
1997,1578.9
1998,1655.1
1999,1891.8
2000,1714.7
2001,1459.1
2002,1280.1
2003,1736.2
2004,1587.3
2005,1198.6
2006,1766
2007,1332.6
2008,1807.9
2009,1680
2010,1620.3
2011,1507.3
2012,1499.4
2013,1682.6
2014,1368.8
1990,709.1
1991,559.8
1992,567.5
1993,604
1994,678.3
1995,665.5
1996,510.7
1997,1033.6
1998,688.9
1999,604.1
2000,447.3
2001,596.3
2002,725.4
2003,639.5
2004,694
2005,586.4
2006,713.8
2007,689.2
2008,658
2009,616.1
2010,624.1
2011,628.5
2012,761.2
2013,782.4
2014,608.9
1990,642.7
1991,880.4
1992,525.8
1993,778.7
1994,631.9
1995,748.6
1996,961.9
1997,888.3
1998,938.7
1999,779.4
2000,894
2001,959
2002,759.4
2003,601.9
2004,713.1
2005,622.9
2006,1059.2
2007,719.3
2008,758.7
2009,828.5
2010,878.2
2011,919.2
2012,748.6
2013,682.9
2014,782.7
1990,2054.1
1991,2334.5
1992,2294.6
1993,1964.7
1994,2407.7
1995,2218.7
1996,2409.5
1997,1965.2
1998,2436.3
1999,2676.7
2000,2345.3
2001,2534.5
2002,2427.5
2003,2534.3
2004,2498.7
2005,2145.2
2006,2696
2007,2335.3
2008,2446.1
2009,2399.7
2010,2798.7
2011,2488.4
2012,2139.3
2013,2380.7
2014,2622.7
1990,50
1991,69.8
1992,47.1
1993,44.2
1994,72.2
1995,54.2
1996,51.5
1997,53
1998,48.7
1999,31.9
2000,49
2001,46.8
2002,52.9
2003,51.6
2004,48.6
2005,50.6
2006,44.8
2007,41.3
2008,50.6
2009,40.3
2010,35.8
2011,47.1
2012,38.6
2013,45.5
2014,44.7
1990,873.7
1991,1156.8
1992,757.3
1993,1026.9
1994,838.9
1995,933.5
1996,1157.7
1997,1219.3
1998,827.4
1999,1306.4
2000,1075.9
2001,1056.8
2002,1039.7
2003,1067
2004,1213.7
2005,928.6
2006,1108.4
2007,1185.5
2008,1083.2
2009,1154.9
2010,1046.3
2011,1174.4
2012,1134.7
2013,1139.8
2014,1110.5
1990,227.1
1991,277.5
1992,261.5
1993,264.5
1994,348.6
1995,272.1
1996,261.3
1997,262.1
1998,304.7
1999,358.1
2000,267.9
2001,274.4
2002,236.2
2003,339.1
2004,294.5
2005,293.6
2006,270.9
2007,291.2
2008,326.7
2009,299
2010,368.7
2011,263.7
2012,318.3
2013,297.8
2014,299
1990,62.8
1991,66.7
1992,81.6
1993,87.7
1994,95.8
1995,101.2
1996,72.1
1997,84.6
1998,88.3
1999,110.3
2000,97.9
2001,75.8
2002,76.9
2003,109.7
2004,96.2
2005,100.2
2006,80.6
2007,89.1
2008,106.9
2009,99.4
2010,133.4
2011,82.2
2012,103.9
2013,108.8
2014,87.8
1990,288.6
1991,344
1992,305
1993,294
1994,236.4
1995,302.7
1996,552
1997,336.5
1998,241.6
1999,302.3
2000,237.2
2001,224.5
2002,384.5
2003,382.9
2004,308.6
2005,237.1
2006,349.4
2007,302.2
2008,367.2
2009,348.6
2010,479.2
2011,375.6
2012,350.6
2013,259.6
2014,312.9
1990,802.9
1991,993.2
1992,693.2
1993,955.2
1994,837.7
1995,872.1
1996,1030.1
1997,1160.1
1998,985.3
1999,1114.8
2000,1229.1
2001,1154.6
2002,910.8
2003,937.9
2004,1096.8
2005,886.7
2006,858.8
2007,1000.2
2008,1000.6
2009,891.1
2010,911.3
2011,1041.1
2012,986.4
2013,989.2
