Precipitation,Mean Temperature,Humidity,Deaths
1297.1,24.9,20.9,80.33038038
1373.8,25.2,21.5,84.35421431
1374.2,25.2,21.4,88.78788929
1423.7,26,22.3,91.56294194
1399.7,25.8,22.1,96.50157072
1455.9,25,21.2,103.5597422
1297.4,25.3,21.5,106.3455186
1312.4,25.4,21.5,109.9083664
1230.1,25.6,21.9,113.6396137
1370.2,25.8,22.2,118.4863906
1271.6,25.9,22.3,121.4149505
1287,26.1,22.4,122.8829605
1359.4,25.7,22,136.6919343
1382.2,25.9,22.2,133.4374402
1316.3,25.6,21.9,124.2137209
1289.2,26.1,22.5,113.5125369
1380.5,26.1,22.5,103.5939624
1321.4,25.5,21.8,92.36862594
1389.9,25.6,21.8,84.63152215
1426.2,25.7,22.1,75.71570107
1396.5,25.7,22,72.58179729
234.7,27.2,13.7,57.87253092
307.5,27.3,13.6,58.96779969
285.4,26.3,13.1,59.21993187
244.3,27,13.5,60.76069083
375,26.7,13.2,61.70014646
313.4,27,13.5,62.71558958
291.3,27.3,13.7,63.32487876
302.9,27.4,13.9,63.84324297
336.9,27.6,14.1,65.52135441
322.4,27.4,13.7,67.75210264
287.1,26.8,13.5,67.13712815
285,27.2,13.7,63.12765439
249.7,27.5,13.9,62.66035028
300.5,27.7,14,64.19453218
323.9,28,14.2,63.3603882
357.6,27.9,14.1,63.78215914
355.4,27.6,13.9,70.10246194
386.3,27.9,14.1,62.19487617
348.9,27.7,14,59.12074518
292.8,28.3,14.3,57.60043679
383,28.4,14.4,51.95346702
334.8,27.5,13.8,47.18034802
401.4,27.7,13.9,45.23771223
318.7,27.8,14,44.28149213
350.3,27.8,14.1,42.79010093
1715.6,24.9,25.5,66.22650813
1569.2,24.9,25.2,67.46434047
1528.7,24.6,24.9,68.27684796
1511,24.5,24.8,69.53906618
1680.4,24.6,24.8,72.71717693
1631.8,24.8,25.2,76.72811427
1522.2,24.6,25,79.59869103
1718.6,25.2,25.7,84.91189796
1589.7,25.4,25.9,89.68187067
1789.6,24.6,24.8,96.0730352
1667,24.6,25,98.54321219
1490.5,24.8,25.4,103.0028094
1680.6,25,25.5,103.9568627
1544,24.9,25.5,107.1118829
1460.5,24.8,25.3,104.9947047
1535,25,25.8,108.65211
1572.6,24.9,25.5,93.54881774
1622.1,24.8,25.4,81.4146324
1619.6,24.6,25,70.96949437
1717.1,24.9,25.5,62.93803214
1580.3,25.1,25.8,57.64761045
1565.8,24.7,25.1,57.93520639
1656.3,24.7,25.2,58.26656694
1579.7,24.9,25.4,57.65233813
1545.8,24.8,25.4,59.16708146
295.2,28.7,28.2,0.076941553
155.7,28.3,27.2,0.076623492
262.5,28,26.7,0.07579204
289.6,27.9,26.7,0.078270008
294.3,28.2,27,0.07977048
283.5,28.4,27.2,0.086892711
86.6,28.5,27.3,0.095750588
