Year,Deaths
2001,195.8089094
2002,189.5318228
2003,192.8582864
2004,211.8200194
2005,194.4942448
2006,165.1857275
2007,159.6289586
2008,151.3767365
2009,125.3713847
2010,126.8325219
2011,146.5132137
2012,144.2531054
2013,135.4021768
2014,112.1435735
1990,14.88529688
1991,14.44034799
1992,14.28513418
1993,14.34771288
1994,14.36147322
1995,14.92422923
1996,15.14433253
1997,15.51029244
1998,15.1752352
1999,15.61786328
2000,15.50742854
2001,15.88158301
2002,12.22534886
2003,11.69722179
2004,11.19367758
2005,11.19047068
2006,10.49688922
2007,9.581633578
2008,8.387134633
2009,7.507259854
2010,7.731567017
2011,6.752522727
2012,6.610260096
2013,6.535287262
2014,6.727768988
1990,26.98414879
1991,26.54791655
1992,26.22707706
1993,25.92524215
1994,26.05360394
1995,25.92144679
1996,25.14461986
1997,24.5053019
1998,24.02452342
1999,23.65931686
2000,23.39619102
2001,26.63297759
2002,26.75423186
2003,26.94594689
2004,26.16545278
2005,24.99648982
2006,15.00469738
2007,11.18947648
2008,5.440635209
2009,2.845146259
2010,2.165512168
2011,1.619249284
2012,1.626916764
2013,1.526582935
2014,1.364280541
1990,86.2015302
1991,89.97181973
1992,90.41434541
1993,86.3944021
1994,83.68957377
1995,83.92606254
1996,82.33098016
1997,81.72885687
1998,83.00478834
1999,83.35590985
2000,79.10414542
2001,78.29726417
2002,73.69807072
2003,68.63016472
2004,60.36087277
2005,54.92718937
2006,48.04597864
2007,41.90053972
2008,39.66104994
2009,40.74674768
2010,43.37977145
2011,48.11363219
2012,52.77454116
2013,54.31603778
2014,51.24345119
1990,76.11773721
1991,76.73053901
1992,75.9328157
1993,75.84844441
1994,74.94184428
1995,72.54861628
1996,72.20653866
1997,70.55213861
1998,71.1853
1999,71.42605495
2000,71.47884161
2001,57.22680967
2002,49.72456371
2003,45.86021955
2004,38.33244002
2005,30.5018627
2006,26.07623452
2007,23.38109837
2008,22.59949387
2009,18.25918208
2010,18.33908999
2011,19.72465474
2012,20.31511827
2013,18.34949329
2014,15.88145274
1990,86.30426802
1991,90.73568362
1992,91.98564643
1993,93.08135919
1994,94.07918162
1995,95.87182508
1996,97.35601634
1997,97.65223916
1998,99.73002973
1999,102.216732
2000,105.157305
2001,110.2375809
2002,115.2098013
2003,124.7077259
2004,125.7269457
2005,122.9357782
2006,118.113335
2007,118.5949278
2008,120.4794178
2009,115.7571139
2010,110.4168885
2011,101.3432698
2012,91.76913
2013,83.3642371
2014,78.304443
1990,127.899598
1991,131.180862
1992,130.7499176
1993,130.4028613
1994,131.0222484
1995,132.0257189
1996,131.9375954
1997,129.5056787
1998,129.5966611
1999,135.3444485
2000,138.6800307
2001,150.3075664
2002,158.3804316
2003,168.832257
2004,181.7312093
2005,181.6228084
2006,178.8540235
2007,173.0456127
2008,165.2340798
2009,151.5536962
2010,145.8202105
2011,139.3403699
2012,131.1000886
2013,127.2602556
2014,120.5805458
1990,105.2631355
1991,103.6164155
1992,101.433528
1993,98.9566541
1994,96.24097373
1995,94.92808274
1996,93.15704533
1997,91.17795775
1998,91.84951217
1999,91.12294864
2000,98.92013298
2001,85.24401278
2002,72.68174422
2003,60.76014065
2004,48.35113584
2005,38.38617849
2006,31.54828028
2007,29.57806672
2008,29.24219399
2009,27.92823153
2010,27.46327093
2011,27.56150771
2012,25.48073217
2013,26.58077881
2014,24.72710048
1990,49.30930102
1991,51.30643549
1992,51.75470598
1993,51.58219486
1994,51.26096091
1995,51.57253746
1996,51.11310377
1997,50.54384311
1998,51.43091903
1999,51.30192908
2000,41.95962959
2001,46.82670177
2002,42.59086926
2003,44.7406363
2004,39.25981069
2005,31.40476484
2006,25.73765533
2007,21.35266426
2008,17.61237112
2009,14.34058217
2010,8.26399049
2011,3.673155967
2012,3.709040282
2013,7.728915395
2014,10.55213833
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
